dataset,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
real_data4_testing,weightedtau,utility_rmse_ratio,0.03583131355539043,0.5728326203459756,0.11127264906552375,0.07908584118269613,250
real_data4_testing,spearmanr,fidelity_accuracy_drop,-0.3473816536576919,0.013445658579970057,-0.3379721360780695,0.016373387957574623,50
real_data4_testing,spearmanr,utility_accuracy_drop,-0.35395501387134154,0.011676974839878236,-0.3736003350515602,0.007529586371613875,50
real_data4_testing,spearmanr,fidelity_balanced_accuracy_drop,-0.3383619747279526,0.016242127199587085,-0.26619416321115813,0.06168700930692902,50
real_data4_testing,spearmanr,utility_balanced_accuracy_drop,-0.3518132256809583,0.012229916674389276,-0.37505738756096063,0.007280796370002859,50
real_data4_testing,spearmanr,fidelity_rmse_ratio,-0.22597992159613367,0.000315956258850745,0.034565803104411985,0.5864710994249582,250
real_data4_testing,spearmanr,utility_rmse_ratio,0.03066118915421956,0.6294651060078061,0.12535842047302204,0.04770638281909171,250
real_data4_testing,rbo,fidelity_accuracy_drop,-0.16551925348710544,0.2506632377250243,-0.1864178605976192,0.1948963303190728,50
real_data4_testing,rbo,utility_accuracy_drop,-0.17258646443670045,0.2307136874222035,-0.19755450210521167,0.16907393065388465,50
real_data4_testing,rbo,fidelity_balanced_accuracy_drop,-0.1600584098376773,0.266854793165803,-0.10941603802900354,0.4494125918463153,50
real_data4_testing,rbo,utility_balanced_accuracy_drop,-0.17752398796459282,0.21744191896947507,-0.22299444540565538,0.11956559180622221,50
real_data4_testing,rbo,fidelity_rmse_ratio,-0.2953182916247957,2.010049859686613e-06,-0.019384727320341355,0.7603721855416739,250
real_data4_testing,rbo,utility_rmse_ratio,0.023831482587410163,0.7076800286204619,0.09986171579681491,0.1152613514700732,250
real_data4_testing,ndcg_score,fidelity_accuracy_drop,-0.36776037606513934,0.00860228662018499,-0.2604912347277132,0.0676926115175693,50
real_data4_testing,ndcg_score,utility_accuracy_drop,-0.3949612693118142,0.004531663962759638,-0.297185159217495,0.03609323744770764,50
real_data4_testing,ndcg_score,fidelity_balanced_accuracy_drop,-0.35452211974871883,0.011534212995529106,-0.1936355421969003,0.17786078004075886,50
real_data4_testing,ndcg_score,utility_balanced_accuracy_drop,-0.3974296853575314,0.004264277102037014,-0.32170589183481646,0.022714477295435822,50
real_data4_testing,ndcg_score,fidelity_rmse_ratio,-0.12049471897929552,0.05709556329715457,0.058374323482456185,0.3580236100561084,250
real_data4_testing,ndcg_score,utility_rmse_ratio,0.02531961060380375,0.6903384787754255,0.11615418426465124,0.06671843784956195,250
real_data5_testing,kendalltau,fidelity_accuracy_drop,-0.41519166305733873,8.018738671277579e-72,-0.15324984045435797,2.131448676820589e-10,1700
real_data5_testing,kendalltau,utility_accuracy_drop,-0.41181110401262294,1.4160427418111296e-70,-0.15396242212649863,1.7542142863624034e-10,1700
real_data5_testing,kendalltau,fidelity_balanced_accuracy_drop,-0.26304494671857037,2.6636797387928373e-28,-0.12497260635517488,2.3504826726501873e-07,1700
real_data5_testing,kendalltau,utility_balanced_accuracy_drop,-0.29071347849765306,1.8318311905061252e-34,-0.15361257247851023,1.9304712082558114e-10,1700
