perturbation,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
correlation_mix,rbo,utility_rmse_ratio,-0.11158318554388075,0.07246769560600133,-0.15722180598168065,0.011125931231645505,260
correlation_mix,ndcg_score,fidelity_accuracy_drop,-0.15495329376570446,8.278969825927684e-05,-0.06519589724926632,0.09937946507821656,640
correlation_mix,ndcg_score,utility_accuracy_drop,-0.27898170681107304,6.617153014111724e-13,-0.1432264216225166,0.0002779290590208441,640
correlation_mix,ndcg_score,fidelity_balanced_accuracy_drop,-0.16426342434497612,2.968804686583501e-05,-0.07451175894051147,0.05957180733998176,640
correlation_mix,ndcg_score,utility_balanced_accuracy_drop,-0.1472710216970567,0.0001848885545651415,-0.139271230213676,0.00040984469426097827,640
correlation_mix,ndcg_score,fidelity_rmse_ratio,-0.01911658696424897,0.759004360330519,-0.1070752841570323,0.0848568267933068,260
correlation_mix,ndcg_score,utility_rmse_ratio,-0.07447570487499391,0.2313996911294296,-0.16208471038522917,0.0088374203361568,260
mean_variance_drift,kendalltau,fidelity_accuracy_drop,-0.22230759345526419,1.3137112499890096e-08,-0.17341721579608094,1.0240011180751807e-05,640
mean_variance_drift,kendalltau,utility_accuracy_drop,-0.11615241802200149,0.00325393951598762,-0.148222557015623,0.0001677240944986599,640
mean_variance_drift,kendalltau,fidelity_balanced_accuracy_drop,-0.16070866278416163,4.4215257335258655e-05,-0.14477305440098986,0.00023811282006236026,640
mean_variance_drift,kendalltau,utility_balanced_accuracy_drop,-0.13159961041781848,0.0008461107802601597,-0.1106289392802412,0.0050810658468105965,640
mean_variance_drift,kendalltau,fidelity_rmse_ratio,-0.021423461331517096,0.7309832140663941,-0.3442560190915171,1.2024987509244057e-08,260
mean_variance_drift,kendalltau,utility_rmse_ratio,0.0065786989116077945,0.9159248367842128,-0.31045829326408064,3.244518876838692e-07,260
mean_variance_drift,weightedtau,fidelity_accuracy_drop,,,,,640
mean_variance_drift,weightedtau,utility_accuracy_drop,,,,,640
mean_variance_drift,weightedtau,fidelity_balanced_accuracy_drop,,,,,640
mean_variance_drift,weightedtau,utility_balanced_accuracy_drop,,,,,640
